Primary Key,Title,Opening,OpenTheater,MaxTheater,Gross,OpeningvsGrossPercent,OpeningTheaterVsMax,ReleaseSeason,Budget,Distributor,Brand,Franchise,MPAA,Runtime,Genres
290,Holmes & Watson,7411522,2776,2780,30573626,0.242415538,0.998561151,Holiday,42000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),PG-13,90,"Comedy
 
 Crime
 
 Mystery"
291,Slender Man,11371866,2358,2358,30569484,0.372000587,1,Summer,10000000,"Screen Gems
        
    ",(None),(None),PG-13,93,"Horror
 
 Mystery
 
 Thriller"
292,Teen Titans GO! To the Movies,10411189,3188,3188,29790236,0.349483267,1,Summer,10000000,"Warner Bros.
        
    ",DC Comics,(None),PG,84,"Action
 
 Adventure
 
 Animation
 
 Comedy
 
 Family
 
 Fantasy
 
 Musical
 
 Sci-Fi"
293,The Hate U Give,10058132,2303,2375,29719483,0.338435632,0.969684211,Fall,23000000,"Twentieth Century Fox
        
    ",(None),(None),PG-13,133,"Crime
 
 Drama"
294,Searching,9287650,1207,2009,26020957,0.356929609,0.600796416,Summer,880000,"Screen Gems
        
    ",(None),(None),PG-13,102,"Drama
 
 Mystery
 
 Thriller"
295,Winchester,9307626,2480,2480,25091816,0.370942701,1,Winter,35000000,"Lionsgate
        
    ",CBS Films,(None),PG-13,99,"Drama
 
 Fantasy
 
 Horror
 
 Mystery
 
 Thriller"
296,On the Basis of Sex,8579900,1923,1957,24622687,0.348455065,0.982626469,Holiday,20000000,"Focus Features
        
    ",(None),(None),PG-13,120,"Biography
 
 Drama"
297,The Strangers: Prey at Night,10402271,2464,2464,24586708,0.423085148,1,Spring,5000000,"Aviron Pictures
        
    ",(None),(None),R,85,Horror
298,White Boy Rick,8860431,2504,2504,24011188,0.369012604,1,Fall,29000000,"Studio 8
        
    ",(None),(None),R,111,"Crime
 
 Drama"
299,Won't You Be My Neighbor?,4594645,654,893,22835787,0.201203707,0.732362822,Summer,,"Focus Features
        
    ",(None),(None),PG-13,95,"Biography
 
 Documentary"
300,Overlord,10202108,2859,2859,21704844,0.470038301,1,Holiday,38000000,"Paramount Pictures
        
    ",Bad Robot,(None),R,110,"Action
 
 Horror
 
 Sci-Fi
 
 War"
301,Proud Mary,9959053,2125,2125,20877013,0.477034382,1,Winter,14000000,"Screen Gems
        
    ",(None),(None),R,89,"Action
 
 Crime
 
 Drama
 
 Thriller"
302,The Happytime Murders,9532425,3256,3256,20706452,0.460360133,1,Summer,40000000,"STX Entertainment
        
    ",(None),(None),R,91,"Action
 
 Comedy
 
 Crime
 
 Fantasy
 
 Mystery
 
 Thriller"
303,SuperFly,6870740,2220,2220,20545116,0.334422059,1,Summer,16000000,"Sony Pictures Entertainment (SPE)
        
    ",(None),(None),R,116,"Action
 
 Crime
 
 Thriller"
305,Show Dogs,6023972,3212,3212,17857020,0.337344753,1,Summer,55000000,(None),(None),(None),PG,92,"Adventure
 
 Comedy
 
 Crime
 
 Family"
306,Bad Times at the El Royale,7132647,2808,2808,17839115,0.399831886,1,Fall,32000000,"Twentieth Century Fox
        
    ",(None),(None),R,141,"Crime
 
 Drama
 
 Mystery
 
 Thriller"
307,Operation Finale,6022758,1818,1818,17612099,0.341967076,1,Summer,24000000,"Metro-Goldwyn-Mayer (MGM)
        
    ",(None),(None),PG-13,122,"Biography
 
 Drama
 
 History
 
 Thriller
 
 War"
